score,covariate,type,spearman_rho,p_value
alternative_z,nCount_RNA,continuous,0.03945755738575937,0.0
alternative_z,nFeature_RNA,continuous,-0.0022224127220417935,0.009371182765560962
alternative_z,percent.mt,continuous,-0.10014536351523572,0.0
classical_z,nCount_RNA,continuous,0.028834079982612688,3.291294359658092e-249
classical_z,nFeature_RNA,continuous,-0.007158466192772415,5.810386443496762e-17
classical_z,percent.mt,continuous,-0.09523694187134234,0.0
lectin_z,nCount_RNA,continuous,0.014757983131430185,1.037367782003566e-66
lectin_z,nFeature_RNA,continuous,-0.034548104122303136,0.0
lectin_z,percent.mt,continuous,-0.15345132822844296,0.0
receptor_z,nCount_RNA,continuous,0.03875118718900923,0.0
receptor_z,nFeature_RNA,continuous,-0.001527148514222705,0.0742000640547498
receptor_z,percent.mt,continuous,-0.13199671213384953,0.0
regulator_z,nCount_RNA,continuous,0.12229450300878991,0.0
regulator_z,nFeature_RNA,continuous,0.14093816251673966,0.0
regulator_z,percent.mt,continuous,0.15701232582714147,0.0
terminal_z,nCount_RNA,continuous,0.05038306079256812,0.0
terminal_z,nFeature_RNA,continuous,0.01309679274036112,6.356975868675502e-53
terminal_z,percent.mt,continuous,-0.1003236154649978,0.0
cfhr_z,nCount_RNA,continuous,-0.020268176936621692,3.7997110904221574e-124
cfhr_z,nFeature_RNA,continuous,-0.07334739014424957,0.0
cfhr_z,percent.mt,continuous,-0.15365112549793272,0.0
production_score,nCount_RNA,continuous,-0.04706281070988559,0.0
production_score,nFeature_RNA,continuous,-0.08514504372983824,0.0
production_score,percent.mt,continuous,-0.07685729291594368,0.0
response_score,nCount_RNA,continuous,0.03875118718900923,0.0
response_score,nFeature_RNA,continuous,-0.001527148514222705,0.0742000640547498
response_score,percent.mt,continuous,-0.13199671213384953,0.0
activation_index,nCount_RNA,continuous,-0.13346265216032835,0.0
activation_index,nFeature_RNA,continuous,-0.1656830197464214,0.0
activation_index,percent.mt,continuous,-0.16015409867529534,0.0
net_complement_load,nCount_RNA,continuous,-0.069123874253153,0.0
net_complement_load,nFeature_RNA,continuous,-0.08955687399133065,0.0
net_complement_load,percent.mt,continuous,0.045470840242104876,0.0
