population,comparison_id,comparison,gene_id,gene_symbol,complement_module,passes_expression_filter,total_pseudobulk_count,detected_pseudobulk_donors,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_p_value,deseq2_q_value,is_de_primary_q_0_05,model_n_fitted_group1,model_n_fitted_group2,model_n_fitted_nuclei_group1,model_n_fitted_nuclei_group2,model_candidate_covariates,model_final_covariates,model_n_complete_case_dropped,model_used_unadjusted_fallback,model_design_formula,source_file
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000125730,C3,alternative,True,59270,135,337.39734150223205,2.32210059458164,0.3661576803764018,2.202025365067222,0.3739240408771468,2.202025365067222,0.3739240408771468,True,2.2708869527740483e-10,2.2213479744339033e-07,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000243649,CFB,alternative,True,26653,135,120.5341136033082,1.569398923187367,0.2729490018208661,1.4726016800729256,0.2765264301532629,1.4726016800729256,0.2765264301532629,True,8.935536719015934e-09,2.7441448870456953e-06,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000197766,CFD,alternative,True,13496,130,63.84301890147733,0.0241147413227584,0.37295212883009,0.0048265479423099,0.2046606935464232,0.0048265479423099,0.2046606935464232,True,0.9484454444896724,0.9760898037804132,False,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000126759,CFP,alternative,True,1504,130,9.287924799669764,0.7011849102201437,0.282845461457849,0.4018169110056115,0.3300340011032802,0.4018169110056115,0.3300340011032802,True,0.0131736926710988,0.078000702362468,False,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000173372,C1QA,classical,True,29881,134,175.77614991378596,1.9071869682593752,0.4707474182218606,1.4648097125849031,0.6528078640238596,1.4648097125849031,0.6528078640238596,True,5.09116788341521e-05,0.0015491110019456,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000173369,C1QB,classical,True,25065,132,145.18535396917048,2.078492298968724,0.4993352569063921,1.608980105508897,0.7012352305097689,1.608980105508897,0.7012352305097689,True,3.1475648147323545e-05,0.0010860756579666,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000159189,C1QC,classical,True,14641,129,86.87084305221262,2.441340212744338,0.511942254682605,2.063945853970256,0.6815713746643204,2.063945853970256,0.6815713746643204,True,1.8534452216213573e-06,0.0001352247009619,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000159403,C1R,classical,True,36825,134,167.26128445002593,0.7491423343811733,0.2759910727621942,0.4985039794146618,0.3114005898889343,0.4985039794146618,0.3114005898889343,True,0.0066401632272884,0.049289868183225,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000182326,C1S,classical,True,66706,135,307.7575038032364,0.3995549593883392,0.1568519354070139,0.3188084402394197,0.1580720055539512,0.3188084402394197,0.1580720055539512,True,0.010854811251949,0.0685688639022308,False,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
global,aki_vs_ckd,acute kidney injury vs chronic kidney disease,ENSG00000166278,C2,classical,True,26239,135,137.44134282076476,0.6540835255792139,0.1485722270569949,0.5950429000761787,0.1494841258089329,0.5950429000761787,0.1494841258089329,True,1.0702953400973283e-05,0.0005047780397734,True,34.0,94.0,124074.0,311889.0,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,sex;diabetes_history_clean;hypertension_clean;Race_grouped;Age_grouped,7.0,False,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,pseudobulk_de_aki_vs_ckd.csv
