comparison_id,population,group1,group2,candidate_covariates,final_covariates,complete_case_dropped_ids,n_complete_case_dropped,used_unadjusted_fallback,design_formula,n_genes_tested,n_fitted_group1,n_fitted_group2,n_fitted_nuclei_group1,n_fitted_nuclei_group2,fitted_ids_group1,fitted_ids_group2,source_file
targeted_SubclassLevel1_ATL_ckd_vs_normal,ATL,chronic kidney disease,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_ATL_ckd_vs_normal.csv
targeted_SubclassLevel1_CNT_aki_vs_ckd,CNT,acute kidney injury,chronic kidney disease,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_CNT_aki_vs_ckd.csv
targeted_SubclassLevel1_CNT_aki_vs_normal,CNT,acute kidney injury,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_CNT_aki_vs_normal.csv
targeted_SubclassLevel1_CNT_ckd_vs_normal,CNT,chronic kidney disease,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24993.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_CNT_ckd_vs_normal.csv
targeted_SubclassLevel1_DCT_aki_vs_ckd,DCT,acute kidney injury,chronic kidney disease,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24296.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DCT_aki_vs_ckd.csv
targeted_SubclassLevel1_DCT_aki_vs_normal,DCT,acute kidney injury,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,26507.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DCT_aki_vs_normal.csv
targeted_SubclassLevel1_DCT_ckd_vs_normal,DCT,chronic kidney disease,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DCT_ckd_vs_normal.csv
targeted_SubclassLevel1_DTL_aki_vs_ckd,DTL,acute kidney injury,chronic kidney disease,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DTL_aki_vs_ckd.csv
targeted_SubclassLevel1_DTL_aki_vs_normal,DTL,acute kidney injury,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27199.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DTL_aki_vs_normal.csv
targeted_SubclassLevel1_DTL_ckd_vs_normal,DTL,chronic kidney disease,normal,,,,,,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27362.0,,,,,,,pseudobulk_de_targeted_SubclassLevel1_DTL_ckd_vs_normal.csv
