gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,7113,134,True,33.569372330640334,0.11363214816019403,0.18013048618173627,0.6308324069338763,0.5281501115551746,0.7357441107803004,0.06027403944255448,0.148138000852679,True,disease[T.acute kidney injury],0.06027403944255448,0.148138000852679,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000268895,A1BG-AS1,6406,134,True,37.235104562035254,0.2300455310889893,0.23752937086773876,0.9684929920396388,0.33279821725627434,0.5758342319153211,0.10000762977075138,0.1822141191533758,True,disease[T.acute kidney injury],0.10000762977075138,0.1822141191533758,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000148584,A1CF,121984,135,True,568.8391808632035,-0.14817169207530673,0.3334951804205038,-0.44429935055876113,0.6568261707208674,0.8208306991061242,-0.033738865611212435,0.20283240012067963,True,disease[T.acute kidney injury],-0.033738865611212435,0.20283240012067963,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000175899,A2M,203432,135,True,863.2140657365263,0.11830309030530509,0.23393960540312672,0.505699281237327,0.6130677729398485,0.7932687510934746,0.04697016698312796,0.17665644881319492,True,disease[T.acute kidney injury],0.04697016698312796,0.17665644881319492,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000245105,A2M-AS1,6267,134,True,29.04470521371702,-0.0050122803292990455,0.20598610157822814,-0.024333099616410347,0.9805869112659458,0.9907150037659191,-0.0019571440766962306,0.15781038781623077,True,disease[T.acute kidney injury],-0.0019571440766962306,0.15781038781623077,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000166535,A2ML1,2332,129,True,12.378843184233215,-0.19407033571447974,0.236209622774513,-0.821602157587544,0.4113033609335256,0.6446844549326614,-0.08208742583336476,0.17615170777833283,True,disease[T.acute kidney injury],-0.08208742583336476,0.17615170777833283,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000256661,A2ML1-AS1,12116,134,True,48.948950582156456,0.0544891475533232,0.23224336012768873,0.23462090594695473,0.814502981824965,0.9101495989271651,0.023912902835623362,0.16367609135876313,True,disease[T.acute kidney injury],0.023912902835623362,0.16367609135876313,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000256904,A2ML1-AS2,8,7,False,,,,,,,,,,,,,,,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000184389,A3GALT2,1287,128,True,6.972589605504226,-0.04428513650461398,0.21231190903256594,-0.20858526828008128,0.8347720118299431,0.9204204807198857,-0.01819248640492647,0.15585191188593436,True,disease[T.acute kidney injury],-0.01819248640492647,0.15585191188593436,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,40,95,141533,317266
ENSG00000128274,A4GALT,59331,135,True,314.72021741567994,0.6917209576908059,0.2099900026914687,3.2940661404111147,0.0009874925947073985,0.013158762320291171,0.5782965000776621,0.20731683374189191,True,disease[T.acute kidney injury],0.5782965000776621,0.20731683374189191,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,32781.0,aki_vs_ckd,acute kidney injury vs chronic kidney disease,True,40,95,141533,317266
