gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,887,29,True,6.88506451382693,-1.4168419782199562,1.0225955606146768,-1.3855350373008657,0.16588892663452615,,-0.18055828426926057,0.443898689498597,True,disease[T.chronic kidney disease],-0.18055828426926057,0.443898689498597,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000268895,A1BG-AS1,570,31,True,5.100917354351868,-0.7678353565237555,0.9594270069316331,-0.8003061733475572,0.42353342722789467,,-0.16916097938107486,0.40155257261844995,True,disease[T.chronic kidney disease],-0.16916097938107486,0.40155257261844995,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000148584,A1CF,47,16,True,2.8938742678274885,1.9620137860890774,1.8049992251362943,1.0869887137712908,0.27704179758706193,,0.025056106640802937,1.5168299329413024,True,disease[T.chronic kidney disease],0.025056106640802937,1.5168299329413024,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000175899,A2M,1845,32,True,16.920142942307802,-0.5629542141750625,0.7376035272870652,-0.7632206101909927,0.44533183924675057,,-0.10453668725342116,0.3851643353074868,True,disease[T.chronic kidney disease],-0.10453668725342116,0.3851643353074868,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000245105,A2M-AS1,71,18,True,0.7249891894264646,1.8381212926289268,1.5075193428669973,1.2193019620784376,0.22272960420498655,,0.05274902132537312,0.34419404266095516,True,disease[T.chronic kidney disease],0.05274902132537312,0.34419404266095516,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000166535,A2ML1,54,16,True,0.41264792817458523,1.960498457951526,1.6365916973695953,1.1979154367595342,0.230949939505097,,0.0021852350345276834,0.36870678619686,True,disease[T.chronic kidney disease],0.0021852350345276834,0.36870678619686,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000256661,A2ML1-AS1,491,27,True,2.716481586435502,0.5005202282168053,1.215233953128535,0.411871497606079,0.6804336129126228,,-0.011775576131810383,0.341141234831867,True,disease[T.chronic kidney disease],-0.011775576131810383,0.341141234831867,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000184389,A3GALT2,15,8,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
ENSG00000128274,A4GALT,346,34,True,6.401749815373737,1.6131069171226948,1.2419176961690706,1.2988839132404888,0.1939837711639365,,0.09725143238938877,0.5432551154545556,True,disease[T.chronic kidney disease],0.09725143238938877,0.5432551154545556,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21907.0,targeted_SubclassLevel1_ATL_ckd_vs_normal,chronic kidney disease vs normal,False,10,29,866,11737
