gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,201,62,True,1.2937556911782424,0.2788384147740476,0.40875726003641266,0.6821613755538147,0.4951369148414042,,0.025719752277290082,0.1511172389251447,True,disease[T.acute kidney injury],0.025719752277290082,0.1511172389251447,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000268895,A1BG-AS1,221,66,True,1.8906752170490966,0.32005682059724055,0.4155535365330723,0.7701939520655925,0.44118485094582893,,0.0297470735193263,0.1572224502523873,True,disease[T.acute kidney injury],0.0297470735193263,0.1572224502523873,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000148584,A1CF,79,27,True,0.8367219812106542,-1.1538883472172956,1.1146000002205407,-1.0352488309608658,0.30055271952616613,,-0.01864288829638364,0.24014307263956272,True,disease[T.acute kidney injury],-0.01864288829638364,0.24014307263956272,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000175899,A2M,1152,77,True,9.846941690040381,-0.8427797842241488,0.5599756841018275,-1.5050292506467038,0.13231655666483141,0.4510314007209425,-0.03254311033095241,0.16616694633165605,True,disease[T.acute kidney injury],-0.03254311033095241,0.16616694633165605,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000245105,A2M-AS1,100,54,True,0.8747594925891203,-0.5678360941896671,0.576555597501875,-0.9848765611677551,0.32468470780730374,,-0.044169497014766565,0.17348496860487098,True,disease[T.acute kidney injury],-0.044169497014766565,0.17348496860487098,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000166535,A2ML1,109,43,True,0.753966299121998,-0.04286447643394431,0.6220078902219544,-0.06891307507152161,0.9450588108609489,,-0.004832170166346012,0.1514194233274125,True,disease[T.acute kidney injury],-0.004832170166346012,0.1514194233274125,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000256661,A2ML1-AS1,444,70,True,2.861199169524455,0.20637021703734168,0.38324663500722517,0.5384788754464891,0.5902464852388062,0.8340508449626156,0.02599915555761533,0.1612822216038855,True,disease[T.acute kidney injury],0.02599915555761533,0.1612822216038855,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000184389,A3GALT2,38,25,True,0.27411443240779604,-0.08334953923367384,0.9209214870614394,-0.09050667228933185,0.9278845919960833,,-0.007008830187009494,0.16041067402749554,True,disease[T.acute kidney injury],-0.007008830187009494,0.16041067402749554,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000128274,A4GALT,3030,88,True,19.44592741909062,0.7548823402430006,0.2276177698449597,3.3164473088247175,0.0009116977742912158,0.029970074964356126,0.5962756759205852,0.24603288423128708,True,disease[T.acute kidney injury],0.5962756759205852,0.24603288423128708,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,True,28,63,3610,8139
ENSG00000118017,A4GNT,17,12,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000094914,AAAS,729,83,True,5.114426284584284,0.02441272660391803,0.26996908220298205,0.09042786086727811,0.9279472176136198,0.9782124193476887,0.005233877250910436,0.14006054753720593,True,disease[T.acute kidney injury],0.005233877250910436,0.14006054753720593,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000081760,AACS,1328,89,True,8.55576594701645,0.2891204938276291,0.18822614862665316,1.5360272519898395,0.12453169668265206,0.44114046878479984,0.12126036341903279,0.15870511685128613,True,disease[T.acute kidney injury],0.12126036341903279,0.15870511685128613,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000114771,AADAC,3,3,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000197953,AADACL2,4,4,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000242908,AADACL2-AS1,131,48,True,1.0999907468777514,-1.3352597637940578,0.7095736216551622,-1.8817776239756638,0.05986621514581823,,-0.056937168958165425,0.17949361725335922,True,disease[T.acute kidney injury],-0.056937168958165425,0.17949361725335922,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000188984,AADACL3,1,1,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000204518,AADACL4,21,18,True,0.3311108956746029,-0.11476492525134611,1.2420859974441514,-0.09239692379392302,0.9263826834318616,,-0.007844603614088506,0.18484105246941454,True,disease[T.acute kidney injury],-0.007844603614088506,0.18484105246941454,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000109576,AADAT,371,76,True,2.6981326459343546,1.2248977970268549,0.2935598562706063,4.172565733571324,3.0118866601809656e-05,0.003817566341779374,1.055784245958078,0.3258106100335121,True,disease[T.acute kidney injury],1.055784245958078,0.3258106100335121,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,True,28,63,3610,8139
ENSG00000103591,AAGAB,5762,90,True,38.37525764243573,0.31600436182132363,0.11369055644500449,2.7795128434804024,0.0054440500667840295,0.08535825593619702,0.25141043343777303,0.11680102563010762,True,disease[T.acute kidney injury],0.25141043343777303,0.11680102563010762,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
ENSG00000115977,AAK1,20005,91,True,130.98061404254378,-0.16719176060779586,0.11295819739488473,-1.4801206505032904,0.13884105146810174,0.459474773719417,-0.11127286746686481,0.1047661947430053,True,disease[T.acute kidney injury],-0.11127286746686481,0.1047661947430053,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22245.0,targeted_SubclassLevel1_CNT_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,28,63,3610,8139
