gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,420,70,True,2.045894029814176,0.09881972556394586,0.3140371475868925,0.3146752743211786,0.7530082194531176,0.8922865278425922,0.037296743821742036,0.3171354733911965,True,disease[T.acute kidney injury],0.037296743821742036,0.3171354733911965,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000268895,A1BG-AS1,374,72,True,2.052594122891026,0.4329978253025444,0.34120478097573026,1.2690262547444882,0.2044317001903534,0.46506114862400794,0.1547915243458546,0.3948523018066468,True,disease[T.acute kidney injury],0.1547915243458546,0.3948523018066468,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000148584,A1CF,482,52,True,1.8811690138535386,-2.499018307704784,0.5784517349850139,-4.320184652518202,1.5589869387890027e-05,0.0005443661072332516,-2.5462224155175806,0.6190814351116585,True,disease[T.acute kidney injury],-2.5462224155175806,0.6190814351116585,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,True,28,68,3610,24510
ENSG00000175899,A2M,2446,78,True,10.903023362760983,0.05489908250688871,0.4994942196388551,0.1099093449901821,0.9124812712175342,0.9650040628652853,0.01028260345309221,0.422324423504587,True,disease[T.acute kidney injury],0.01028260345309221,0.422324423504587,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000245105,A2M-AS1,145,53,True,0.677514048499856,-0.3581948436788139,0.5477455767052801,-0.6539438361755026,0.5131479905131378,0.7482522140913995,-0.0703481001658377,1.7256648299417128,True,disease[T.acute kidney injury],-0.0703481001658377,1.7256648299417128,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000166535,A2ML1,164,50,True,0.7823359597362197,-0.05244023659616108,0.4330320840251068,-0.12110011828389289,0.903611735489519,0.9609080509271027,-0.019611976614802816,0.7742347941558934,True,disease[T.acute kidney injury],-0.019611976614802816,0.7742347941558934,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000256661,A2ML1-AS1,768,80,True,3.4563818093934273,0.16477550599701307,0.3380294999274774,0.4874589526427867,0.6259331247646817,0.8214530471825693,0.05298509872848009,0.4275336265575779,True,disease[T.acute kidney injury],0.05298509872848009,0.4275336265575779,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000184389,A3GALT2,83,42,True,0.3143208322697886,-0.7248392345718064,0.6163164085792283,-1.1760829737484222,0.23956172097175632,,-0.2038082501671573,0.7772403734950121,True,disease[T.acute kidney injury],-0.2038082501671573,0.7772403734950121,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000128274,A4GALT,5070,95,True,29.019565502999342,0.8113721696170292,0.2523230914325461,3.2156080722161513,0.0013016847206705504,0.015876182952610025,0.6431580839909695,0.26047547636585633,True,disease[T.acute kidney injury],0.6431580839909695,0.26047547636585633,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,True,28,68,3610,24510
ENSG00000118017,A4GNT,22,17,True,0.09755038883164255,0.23162652301096961,1.0098685738151711,0.22936303695035323,0.8185867626453917,,-0.009674308048110158,0.44618960716352746,True,disease[T.acute kidney injury],-0.009674308048110158,0.44618960716352746,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000094914,AAAS,1305,93,True,6.796333332592328,0.10233406718599582,0.22284830739820488,0.4592095330710156,0.646083705420696,0.834033179190902,0.054342880309966986,0.2462205781436637,True,disease[T.acute kidney injury],0.054342880309966986,0.2462205781436637,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000081760,AACS,2804,94,True,14.466180858104586,-0.12141448233768708,0.16481110870853363,-0.7366887055678211,0.4613116768122212,0.7107448166664312,-0.08395147391145533,0.1658617394948614,True,disease[T.acute kidney injury],-0.08395147391145533,0.1658617394948614,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000114771,AADAC,9,5,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000197953,AADACL2,8,5,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000242908,AADACL2-AS1,157,46,True,0.739635327127485,-0.5803127164587408,0.6465608360869682,-0.8975376856582196,0.3694320734396991,0.6363800235383222,-0.09745796506492754,0.5215082268542046,True,disease[T.acute kidney injury],-0.09745796506492754,0.5215082268542046,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000188984,AADACL3,7,4,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000204518,AADACL4,35,21,True,0.34246421070387434,0.06515187577518108,1.0028649518676462,0.06496575202259093,0.9482012685539097,,-0.01773381266676671,2.029676493060112,True,disease[T.acute kidney injury],-0.01773381266676671,2.029676493060112,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,False,28,68,3610,24510
ENSG00000109576,AADAT,547,75,True,2.9754880552003633,1.541797565689093,0.3138854961183941,4.9119745408929125,9.016376248213388e-07,6.664186386506211e-05,1.4192928835811258,0.3125236601281022,True,disease[T.acute kidney injury],1.4192928835811258,0.3125236601281022,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,24474.0,targeted_SubclassLevel1_CNT_aki_vs_normal,acute kidney injury vs normal,True,28,68,3610,24510
