gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,309,81,True,1.300939291293134,-0.7622315831777111,0.5158145639389694,-1.4777240436117223,0.13948165611938548,,-0.04682822016822404,0.28822151504843274,True,disease[T.chronic kidney disease],-0.04682822016822404,0.28822151504843274,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000268895,A1BG-AS1,146,62,True,1.1867388088927968,0.7125183716070195,0.7652284935461113,0.9311184536597296,0.3517922938915209,,0.011063866436807901,1.6878134368366766,True,disease[T.chronic kidney disease],0.011063866436807901,1.6878134368366766,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000148584,A1CF,835,79,True,2.516620653424321,-0.9127914223512065,0.6934996840933172,-1.3162102929355932,0.18810346994264027,,-0.019791303361874606,0.34255179494940935,True,disease[T.chronic kidney disease],-0.019791303361874606,0.34255179494940935,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000175899,A2M,6022,132,True,18.750396753940773,-0.25815527189019355,0.38922278312313147,-0.6632583781934615,0.5071650885525907,0.7510465538288545,-0.019935632247573453,0.2248815594740865,True,disease[T.chronic kidney disease],-0.019935632247573453,0.2248815594740865,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000245105,A2M-AS1,522,102,True,1.5165144024041615,0.19149753196735525,0.3631755641841463,0.5272863894286054,0.5979947244718264,,0.01125427969399457,0.3091074813490632,True,disease[T.chronic kidney disease],0.01125427969399457,0.3091074813490632,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000166535,A2ML1,400,94,True,1.326948769795799,-0.10015127687941097,0.45321471213394166,-0.22097975683060475,0.8251081950700744,,-0.012254661980432326,0.31642166385346715,True,disease[T.chronic kidney disease],-0.012254661980432326,0.31642166385346715,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000256661,A2ML1-AS1,2371,127,True,5.987333102416413,-0.3800841541926255,0.27886108768667534,-1.3629874190969342,0.1728864756392251,,-0.05748859774778388,0.22264128810332265,True,disease[T.chronic kidney disease],-0.05748859774778388,0.22264128810332265,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000256904,A2ML1-AS2,1,1,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000184389,A3GALT2,227,71,True,0.7579607386882389,0.17229000511781198,0.5659665983243753,0.3044172670753028,0.7608100144225446,,-0.001068197280773626,1.6856550993592883,True,disease[T.chronic kidney disease],-0.001068197280773626,1.6856550993592883,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
ENSG00000128274,A4GALT,2004,126,True,9.214548547537664,-0.01177641551056551,0.4470204592805228,-0.026344242788170352,0.9789827665017361,0.9919488809956123,0.0001349135822019863,0.3253347267981062,True,disease[T.chronic kidney disease],0.0001349135822019863,0.3253347267981062,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27030.0,targeted_SubclassLevel1_DCT_ckd_vs_normal,chronic kidney disease vs normal,False,72,68,15052,43484
