gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,535,42,True,2.393995931453339,-0.06406348306276062,0.3812266853262835,-0.16804564194641858,0.8665473725197008,,-0.007961484415187415,0.1546797236237036,True,disease[T.acute kidney injury],-0.007961484415187415,0.1546797236237036,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000268895,A1BG-AS1,496,48,True,2.9998584348156725,0.37434643194965866,0.4299273004717803,0.8707203090821867,0.3839068866664793,,0.03651725301494622,0.17405058736493187,True,disease[T.acute kidney injury],0.03651725301494622,0.17405058736493187,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000148584,A1CF,1258,48,True,16.21440007009611,-0.8046276608864094,0.7209676269638702,-1.116038544303088,0.26440563613955836,0.5855458757119694,-0.023506676059349155,0.22377900974418247,True,disease[T.acute kidney injury],-0.023506676059349155,0.22377900974418247,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000175899,A2M,2391,48,True,12.67999998175175,-1.1320505164886097,0.6042232356779229,-1.873563361426308,0.06099063192987123,0.30977553095247823,-0.034483681861025677,0.21807169170464707,True,disease[T.acute kidney injury],-0.034483681861025677,0.21807169170464707,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000245105,A2M-AS1,146,35,True,0.9539689766537979,0.0760919759246954,0.5704235872475995,0.13339556362290944,0.893880553770253,,-0.004886064908943649,0.15535882460292513,True,disease[T.acute kidney injury],-0.004886064908943649,0.15535882460292513,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000166535,A2ML1,73,21,True,0.3963573234001447,0.3078576540729176,0.9023157123823244,0.3411861833372062,0.7329634240305404,,-0.007651197244144153,0.16141435715028588,True,disease[T.acute kidney injury],-0.007651197244144153,0.16141435715028588,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000256661,A2ML1-AS1,535,45,True,2.66337735402096,-0.3154418740873704,0.5512213704848605,-0.5722598777509372,0.5671459271885226,,-0.021108031949955728,0.16403215587296024,True,disease[T.acute kidney injury],-0.021108031949955728,0.16403215587296024,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000184389,A3GALT2,24,14,True,0.10522681947420254,0.8033028618809068,1.3748005228755,0.5843050308132977,0.5590151080886452,,-0.004184549307143956,0.15969442985256777,True,disease[T.acute kidney injury],-0.004184549307143956,0.15969442985256777,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,17,42,5872,11200
ENSG00000128274,A4GALT,2837,57,True,17.353201300001952,0.8325424634756382,0.25745135463304,3.2337855229478527,0.001221611581729433,0.04128484274082182,0.638419398644705,0.28462289134095864,True,disease[T.acute kidney injury],0.638419398644705,0.28462289134095864,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22901.0,targeted_SubclassLevel1_DTL_aki_vs_ckd,acute kidney injury vs chronic kidney disease,True,17,42,5872,11200
