gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,2038,141,True,4.563500301512725,-0.27782396881695437,0.2162551807227287,-1.2847043381271224,0.19889562176282338,0.40513287799989905,-0.17268798169476895,0.20817140930404124,True,disease[T.chronic kidney disease],-0.17268798169476895,0.20817140930404124,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000268895,A1BG-AS1,2103,146,True,5.6014487936170125,0.06902003430355429,0.1931106011328617,0.35741193854017334,0.7207834405479057,0.8522459023985558,0.04140380890958758,0.19098612331073117,True,disease[T.chronic kidney disease],0.04140380890958758,0.19098612331073117,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000148584,A1CF,946,118,True,4.305176447052964,0.3820472760340459,0.48311084783165353,0.7908066601045883,0.42905682285332924,0.6408589283417444,0.06868690113601314,0.4940135286368824,True,disease[T.chronic kidney disease],0.06868690113601314,0.4940135286368824,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000175899,A2M,245168,163,True,541.2047234795604,-0.3326962882272913,0.2612710401902901,-1.2733760618282852,0.2028846276892563,0.4099466031192808,-0.1703618459075126,0.26247296248997976,True,disease[T.chronic kidney disease],-0.1703618459075126,0.26247296248997976,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000245105,A2M-AS1,635,110,True,1.6104281707465076,0.4425669549092611,0.30228813844139824,1.4640566354708537,0.1431784744477852,0.33199210703368076,0.19948233575767513,0.3025334404278303,True,disease[T.chronic kidney disease],0.19948233575767513,0.3025334404278303,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000166535,A2ML1,386,85,True,1.0701190916562688,-0.13062829257272868,0.427723585951456,-0.30540352896871625,0.7600588343752004,0.8771929534710795,-0.0510474314235244,0.3840175723402911,True,disease[T.chronic kidney disease],-0.0510474314235244,0.3840175723402911,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000256661,A2ML1-AS1,1268,117,True,2.555245855481156,0.02007356613200056,0.32862657169275283,0.061083210735522024,0.9512929400727628,0.9763419946135146,0.004538790935906609,0.3026399020953663,True,disease[T.chronic kidney disease],0.004538790935906609,0.3026399020953663,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000256904,A2ML1-AS2,2,2,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000184389,A3GALT2,417,83,True,0.890779571548197,-0.5970540515431256,0.4607002811802296,-1.2959706688556443,0.19498559028676687,0.3999137885768249,-0.24032800485191896,0.418164919793106,True,disease[T.chronic kidney disease],-0.24032800485191896,0.418164919793106,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000128274,A4GALT,4636,158,True,12.324713786805694,-0.09562825336328189,0.21649273827497162,-0.44171575511148364,0.6586949073270909,0.8137613493393355,-0.05276587303133412,0.21602292955379712,True,disease[T.chronic kidney disease],-0.05276587303133412,0.21602292955379712,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000118017,A4GNT,13,13,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
ENSG00000094914,AAAS,3084,153,True,7.449401199984994,0.4067878144165842,0.187160084929106,2.1734752608745107,0.02974456580545922,0.12623133436783396,0.30591966891718014,0.1863086147842596,True,disease[T.chronic kidney disease],0.30591966891718014,0.1863086147842596,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27810.0,targeted_SubclassLevel1_FIB_ckd_vs_normal,chronic kidney disease vs normal,False,82,81,17297,54966
