gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,1522,151,True,4.909406000201238,-0.29724476580204356,0.26428902209167054,-1.1246958479378009,0.2607179417620683,0.5565315840459955,-0.07664410328194515,0.23966096563570044,True,disease[T.chronic kidney disease],-0.07664410328194515,0.23966096563570044,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000268895,A1BG-AS1,1148,152,True,4.229424095357169,0.2400445431065809,0.26350453171087473,0.9109693163454402,0.3623115409952533,0.6436611684925188,0.054368964145472896,0.2567811212678418,True,disease[T.chronic kidney disease],0.054368964145472896,0.2567811212678418,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000148584,A1CF,914,112,True,2.9133017890475044,-0.5046200535949329,0.49537700069910484,-1.0186586233975008,0.3083650624601574,0.5960218872824395,-0.028620867037429325,0.4056932791425179,True,disease[T.chronic kidney disease],-0.028620867037429325,0.4056932791425179,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000175899,A2M,7092,158,True,20.00494273123332,-0.5590876062689962,0.3603374415951565,-1.551566786382243,0.12076591548288522,0.40037650822169274,-0.08132250738643476,0.2869783697177517,True,disease[T.chronic kidney disease],-0.08132250738643476,0.2869783697177517,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000245105,A2M-AS1,345,104,True,0.9949712243780178,-0.577346958176747,0.41330607146548864,-1.396899290953087,0.162443857863675,0.45776967435579463,-0.08061056809459204,0.37003129041663335,True,disease[T.chronic kidney disease],-0.08061056809459204,0.37003129041663335,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000166535,A2ML1,279,89,True,1.1713535164848015,-0.6827528048371588,0.5140012224316972,-1.3283096907962821,0.1840758196299499,0.48387045909180293,-0.056734592969562805,0.4457429115467648,True,disease[T.chronic kidney disease],-0.056734592969562805,0.4457429115467648,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000256661,A2ML1-AS1,2992,146,True,7.688730312101529,-0.06123519264712601,0.32580653460826586,-0.1879495533162104,0.850916196937063,0.9375631406674481,-0.01022607011907484,0.2587916678195371,True,disease[T.chronic kidney disease],-0.01022607011907484,0.2587916678195371,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000184389,A3GALT2,125,64,True,0.6286916614674943,-0.7517782908913903,0.6521058476782553,-1.1528470317633353,0.2489731761848829,,-0.050531437400638105,0.5809314966131006,True,disease[T.chronic kidney disease],-0.050531437400638105,0.5809314966131006,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
ENSG00000128274,A4GALT,7030,169,True,22.49600688767082,-0.2948018091377611,0.23931665589593512,-1.2318482724660553,0.21800576724168608,0.5185123120888601,-0.07802480577650056,0.25358820685179023,True,disease[T.chronic kidney disease],-0.07802480577650056,0.25358820685179023,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,27959.0,targeted_SubclassLevel1_IC_ckd_vs_normal,chronic kidney disease vs normal,False,84,85,19818,51657
