gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,599,67,True,2.0373987777593143,-0.5852349165025975,0.37999025845216094,-1.5401313678052513,0.12352833509348318,0.8001928902503369,-0.012959846667427373,0.0682711131124689,True,disease[T.acute kidney injury],-0.012959846667427373,0.0682711131124689,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000268895,A1BG-AS1,488,81,True,2.7493615521709236,0.22434494688210938,0.2799683339446052,0.8013225771686683,0.42294492376497395,0.9375175527400399,0.009099156869001859,0.06569663872185001,True,disease[T.acute kidney injury],0.009099156869001859,0.06569663872185001,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000148584,A1CF,364,69,True,2.384968255134971,0.7095919629324035,0.5184203958546337,1.3687578046820803,0.17107499461437947,0.8412661530727893,0.007057386946228303,0.07175807750953538,True,disease[T.acute kidney injury],0.007057386946228303,0.07175807750953538,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000175899,A2M,7210,97,True,30.062252738134145,-0.14117344986434435,0.3335122400511249,-0.42329315962347747,0.6720813844223004,0.9730378049774314,-0.003796254618178675,0.07093995840280437,True,disease[T.acute kidney injury],-0.003796254618178675,0.07093995840280437,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000245105,A2M-AS1,1568,93,True,6.819195107194066,-0.800301743998589,0.2935478653858894,-2.726307489739487,0.006404730155188836,0.37896168362946625,-0.03214996206382014,0.0840855191145095,True,disease[T.acute kidney injury],-0.03214996206382014,0.0840855191145095,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000166535,A2ML1,67,26,True,0.1738143612049381,-0.3309995048081443,0.7806800702385251,-0.42398867016934644,0.6715740760781059,,-0.0016599166316107004,0.06095789696418455,True,disease[T.acute kidney injury],-0.0016599166316107004,0.06095789696418455,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000256661,A2ML1-AS1,99,43,True,0.5058431057610485,0.25869300464826006,0.5896878200961708,0.43869484129088915,0.6608826655208725,,0.005060760839332791,0.06608233171714124,True,disease[T.acute kidney injury],0.005060760839332791,0.06608233171714124,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000184389,A3GALT2,21,15,True,0.07737508879635434,-0.8332846279334074,1.2963066232362375,-0.6428144491409812,0.5203445062986771,,-0.0013683811253904009,0.0715397058656143,True,disease[T.acute kidney injury],-0.0013683811253904009,0.0715397058656143,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000128274,A4GALT,179,61,True,1.3967377709046793,0.31184973650468223,0.5972736270376279,0.5221220599533284,0.601585347933489,0.9676774212349623,0.0034603997951648128,0.06912905663179023,True,disease[T.acute kidney injury],0.0034603997951648128,0.06912905663179023,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000118017,A4GNT,2,2,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000094914,AAAS,473,81,True,2.870330488176395,0.2634632073898904,0.31533202134164867,0.8355104764461562,0.40343035076729783,0.9342282631198645,0.008336539183297575,0.06440271035307564,True,disease[T.acute kidney injury],0.008336539183297575,0.06440271035307564,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000081760,AACS,735,91,True,4.320182588980795,0.07374453118480963,0.275899717419921,0.2672874473175702,0.7892478508853547,0.9871868991998275,0.002937168614819432,0.06388721843550334,True,disease[T.acute kidney injury],0.002937168614819432,0.06388721843550334,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000114771,AADAC,12,9,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000197953,AADACL2,4,3,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000242908,AADACL2-AS1,128,33,True,0.561817369533726,0.7921693772739865,0.778475879177112,1.017590137938955,0.30887277604909746,,0.007517917393246973,0.07325184210014658,True,disease[T.acute kidney injury],0.007517917393246973,0.07325184210014658,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000188984,AADACL3,8,7,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000204518,AADACL4,6,4,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000109576,AADAT,55,32,True,0.42288587383317755,-0.6622983495237013,0.7832730933910025,-0.845552279418193,0.39780255644841334,,-0.0027804818417587604,0.06368106300396131,True,disease[T.acute kidney injury],-0.0027804818417587604,0.06368106300396131,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
ENSG00000103591,AAGAB,2772,100,True,13.241545062607393,-0.3022972715285699,0.1612699076316157,-1.8744803414850277,0.060864249115363006,0.7216277013272935,-0.03922420233477091,0.08128051405271913,True,disease[T.acute kidney injury],-0.03922420233477091,0.08128051405271913,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22758.0,targeted_SubclassLevel1_Lymphoid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,35,66,7275,13392
