gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,742,85,True,2.2786158697469627,-0.10576473562376937,0.36849177438754144,-0.2870206147737154,0.7740965357224032,,-0.02320696105239265,0.25535298618084795,True,disease[T.chronic kidney disease],-0.02320696105239265,0.25535298618084795,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000268895,A1BG-AS1,518,94,True,2.399640798499436,0.19935004154243108,0.2935654460965703,0.6790650745621252,0.4970966305624024,,0.04940783344209115,0.25290192257692673,True,disease[T.chronic kidney disease],0.04940783344209115,0.25290192257692673,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000148584,A1CF,442,80,True,2.0576500075764614,-0.3371578758901205,0.5172779099593887,-0.6517925266064243,0.5145350234171231,,-0.03671403106180324,0.40505080990053277,True,disease[T.chronic kidney disease],-0.03671403106180324,0.40505080990053277,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000175899,A2M,8270,115,True,29.080012617865357,-0.12725688685242698,0.33870922815594856,-0.3757113071446502,0.7071315308764186,0.86622887405968,-0.028879093646882313,0.2551952789294005,True,disease[T.chronic kidney disease],-0.028879093646882313,0.2551952789294005,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000245105,A2M-AS1,1768,111,True,6.7184000399263,0.3825684265009837,0.3025445784982787,1.2645026673421629,0.20604966394196367,0.48400623182358105,0.12484472728259993,0.2585259836765126,True,disease[T.chronic kidney disease],0.12484472728259993,0.2585259836765126,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000166535,A2ML1,61,30,True,0.1603605666305264,0.9755234487484664,0.7851403627188376,1.242482866847346,0.21405845803955792,,0.0066220134885501495,0.48240177728920713,True,disease[T.chronic kidney disease],0.0066220134885501495,0.48240177728920713,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000256661,A2ML1-AS1,100,48,True,0.44858004411128216,0.23560304295207368,0.6407686493912514,0.3676881557421751,0.7131057731776629,,-0.026416181842541697,0.4053014578919335,True,disease[T.chronic kidney disease],-0.026416181842541697,0.4053014578919335,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000184389,A3GALT2,26,21,True,0.1045742019861231,1.5223025472267528,1.0551668121616702,1.4427126873978189,0.14910142370630616,,0.012111063950937887,0.6388202199957161,True,disease[T.chronic kidney disease],0.012111063950937887,0.6388202199957161,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
ENSG00000128274,A4GALT,192,68,True,1.0820269157752522,0.5377592980076386,0.5761954160143274,0.933293259650415,0.35066857434920273,,0.020867527962803323,0.3963643173536646,True,disease[T.chronic kidney disease],0.020867527962803323,0.3963643173536646,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23138.0,targeted_SubclassLevel1_Lymphoid_ckd_vs_normal,chronic kidney disease vs normal,False,66,54,13392,12176
