gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,487,79,True,1.7079079419716148,0.4205297806543644,0.3727205991993499,1.1282708322473043,0.2592055577526148,0.5966186916755395,0.050393104236630945,0.15695956089942956,True,disease[T.acute kidney injury],0.050393104236630945,0.15695956089942956,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000268895,A1BG-AS1,590,98,True,3.16706509448907,0.3229826451775345,0.29306661041071175,1.102079301101199,0.27042719728241615,0.6064017029922419,0.06427050041426419,0.15591035411246318,True,disease[T.acute kidney injury],0.06427050041426419,0.15591035411246318,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000148584,A1CF,349,84,True,2.4706007857622194,-0.17653478647717702,0.45783147602710483,-0.38558901194186507,0.6998010722976198,0.8924837298735805,-0.014582842998061802,0.16276320746771136,True,disease[T.acute kidney injury],-0.014582842998061802,0.16276320746771136,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000175899,A2M,15918,113,True,61.83610584837858,0.010200244297811316,0.19844434569844704,0.05140103267699776,0.9590059619055076,0.9876619057730555,0.004051873349667687,0.1305361257659493,True,disease[T.acute kidney injury],0.004051873349667687,0.1305361257659493,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000245105,A2M-AS1,385,75,True,1.8428357153714965,-0.5433871819256803,0.4096298575287159,-1.3265321654137179,0.1846634881391085,0.5143319399414491,-0.06968505712094722,0.1786738132773988,True,disease[T.acute kidney injury],-0.06968505712094722,0.1786738132773988,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000166535,A2ML1,85,43,True,0.536346524344333,-0.6458616990660547,0.6795488557120694,-0.9504271747897871,0.3418952414117762,,-0.03173771263789268,0.1585906822849807,True,disease[T.acute kidney injury],-0.03173771263789268,0.1585906822849807,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000256661,A2ML1-AS1,213,65,True,0.9736969218660438,-0.04196191576351375,0.48744235136180414,-0.08608590461268212,0.9313981285155422,,-0.006298024516886862,0.15058841237266266,True,disease[T.acute kidney injury],-0.006298024516886862,0.15058841237266266,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000184389,A3GALT2,30,24,True,0.18131986500652622,0.5915766411969674,0.8783601965471899,0.6735011940687193,0.5006284893597178,,0.04010481754141777,0.16582901295119828,True,disease[T.acute kidney injury],0.04010481754141777,0.16582901295119828,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000128274,A4GALT,199,72,True,2.114081535596968,0.4117408241638097,0.5733352272526441,0.7181502279858574,0.47266466295755416,0.760600033613695,0.02105275117747085,0.1848523844515376,True,disease[T.acute kidney injury],0.02105275117747085,0.1848523844515376,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000118017,A4GNT,13,10,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000094914,AAAS,509,90,True,2.606865830506635,0.077512025910689,0.30808502183317305,0.2515929708282329,0.801355692359897,0.9380862276851267,0.012811791965660851,0.1398656025683737,True,disease[T.acute kidney injury],0.012811791965660851,0.1398656025683737,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000081760,AACS,558,97,True,3.3297828640113765,-0.18269607383981135,0.2926810479048391,-0.624215592870271,0.5324860078693555,0.8000755519219549,-0.03357251066575342,0.14374853880548774,True,disease[T.acute kidney injury],-0.03357251066575342,0.14374853880548774,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000114771,AADAC,9,8,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000197953,AADACL2,15,7,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000242908,AADACL2-AS1,370,67,True,1.9168615072537987,-0.3881558290128718,0.523344024821665,-0.7416838840285604,0.4582788863938173,0.7520559102172382,-0.02990399800381199,0.1468098406952851,True,disease[T.acute kidney injury],-0.02990399800381199,0.1468098406952851,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000188984,AADACL3,7,6,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000204518,AADACL4,20,14,True,0.05609844716789435,-0.6921588009872862,1.3349832547028235,-0.5184775153912815,0.6041251438200446,,-0.010303071915611113,0.17016248058599773,True,disease[T.acute kidney injury],-0.010303071915611113,0.17016248058599773,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000109576,AADAT,56,35,True,0.2626461926965962,0.4085451412981801,0.7610487390685263,0.5368186297742409,0.5913929018208328,,0.0314387627836469,0.15749233149351308,True,disease[T.acute kidney injury],0.0314387627836469,0.15749233149351308,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000103591,AAGAB,3254,110,True,14.531800141148317,-0.09200142492807542,0.14137807430046542,-0.6507474754009472,0.5152095111427206,0.7876765111511065,-0.0454983931638214,0.10898669760398663,True,disease[T.acute kidney injury],-0.0454983931638214,0.10898669760398663,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000115977,AAK1,20188,114,True,91.0641108296931,-0.03403797782705644,0.0801807344683155,-0.4245156651752425,0.6711897832792723,0.880056419665523,-0.025400087169224744,0.07213646244828141,True,disease[T.acute kidney injury],-0.025400087169224744,0.07213646244828141,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000087884,AAMDC,2179,108,True,9.098832260080826,0.02789100332289997,0.19264515316149036,0.14477915932574506,0.8848852372884027,0.9696829643993822,0.009123304743887539,0.12501724237419537,True,disease[T.acute kidney injury],0.009123304743887539,0.12501724237419537,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000127837,AAMP,868,100,True,4.196312216233637,0.4140815268681156,0.21751808735977926,1.9036648027490997,0.05695385320246973,0.2919398794468216,0.1647192143115065,0.20412370936511992,True,disease[T.acute kidney injury],0.1647192143115065,0.20412370936511992,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000129673,AANAT,37,22,True,0.12254045028485865,-0.5762869846627988,0.9793334007440253,-0.5884482079595962,0.5562314878397594,,-0.010804051128557215,0.16110497024353818,True,disease[T.acute kidney injury],-0.010804051128557215,0.16110497024353818,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000131043,AAR2,804,102,True,4.183951166006214,0.554877976796104,0.22967507962346287,2.4159259145824166,0.015695254436142305,0.15018572807757727,0.3105346261714981,0.26893262200137263,True,disease[T.acute kidney injury],0.3105346261714981,0.26893262200137263,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000205002,AARD,32,20,True,0.1024591233901887,-0.07347618786922211,0.9843229174871294,-0.07464642604969406,0.9404960344914342,,-0.0007917744490812292,0.14981500326605873,True,disease[T.acute kidney injury],-0.0007917744490812292,0.14981500326605873,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000090861,AARS1,1247,105,True,7.26978270666305,0.2107539826476747,0.2109708841589219,0.9989718888835684,0.3178083092123999,0.6470554905194011,0.06490207243043919,0.1417358248469619,True,disease[T.acute kidney injury],0.06490207243043919,0.1417358248469619,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000124608,AARS2,553,94,True,3.0459518653707156,-0.21442419293232762,0.2669082590758697,-0.803362899577329,0.4217650122014741,0.7287671078161635,-0.047880701810268024,0.14311309866179628,True,disease[T.acute kidney injury],-0.047880701810268024,0.14311309866179628,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000266967,AARSD1,862,103,True,4.514835047002617,-0.17855990894042242,0.2427651532350766,-0.7355252867264587,0.4620196456604575,0.7543370562098708,-0.047084536827564465,0.1377069129274678,True,disease[T.acute kidney injury],-0.047084536827564465,0.1377069129274678,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000157426,AASDH,2103,106,True,8.827881422897057,-0.22849083264975392,0.15759416782943356,-1.4498685820471024,0.1470951700703279,0.4650908841108927,-0.11757985136233229,0.1339542570535933,True,disease[T.acute kidney injury],-0.11757985136233229,0.1339542570535933,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000149313,AASDHPPT,1949,105,True,7.609829151800352,-0.09005257154641848,0.18565393817184225,-0.48505608032437936,0.6276365653825127,0.8599899090943238,-0.031037128822953945,0.12342428912572774,True,disease[T.acute kidney injury],-0.031037128822953945,0.12342428912572774,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000008311,AASS,1187,110,True,7.829205081700914,-0.7787602251973619,0.28572199354281813,-2.7255872589334196,0.006418720759268656,0.09581359004131167,-0.513719954453539,0.32384098951377893,True,disease[T.acute kidney injury],-0.513719954453539,0.32384098951377893,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000215458,AATBC,487,85,True,2.156386217834391,0.7788281795400364,0.36103520687887614,2.1572083960258364,0.03098943057662732,0.21363671758811414,0.12308104604243128,0.22668334792360129,True,disease[T.acute kidney injury],0.12308104604243128,0.22668334792360129,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000275700,AATF,4632,114,True,21.619814442652686,0.2491741761854813,0.11594669831745232,2.149040721308539,0.031631172096949725,0.2157403639869657,0.18166266963137373,0.11352284757081284,True,disease[T.acute kidney injury],0.18166266963137373,0.11352284757081284,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000181409,AATK,504,88,True,3.362232818789981,-0.44118359900119974,0.4261431650526923,-1.0352943216786024,0.300531480861441,0.6321581459553018,-0.04431353003134732,0.16437542271554167,True,disease[T.acute kidney injury],-0.04431353003134732,0.16437542271554167,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000281376,ABALON,97,37,True,0.253838171154832,0.33260084628491243,0.6321064171830547,0.5261785630450149,0.598764146962368,,0.021017422062682704,0.1478895305332982,True,disease[T.acute kidney injury],0.021017422062682704,0.1478895305332982,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000183044,ABAT,2986,114,True,16.512634320548965,0.34511269050104826,0.18845059449838805,1.8313165390624448,0.06705331044630217,0.3191895595167907,0.16549177725871161,0.17766642542680264,True,disease[T.acute kidney injury],0.16549177725871161,0.17766642542680264,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000165029,ABCA1,26718,114,True,88.84609489561551,0.20867943786536305,0.1746205995646051,1.1950447907387756,0.23206953064278302,0.5692498477323797,0.0826975431822917,0.14119162547819045,True,disease[T.acute kidney injury],0.0826975431822917,0.14119162547819045,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000154263,ABCA10,484,86,True,3.228758697389389,0.49629375773351625,0.43717998375781447,1.1352161036001345,0.25628478383821995,0.5935407022803992,0.04465132753582818,0.16823180854117042,True,disease[T.acute kidney injury],0.04465132753582818,0.16823180854117042,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000144452,ABCA12,98,44,True,0.5454445936412539,0.7766975999368272,0.6557069606405473,1.1845193761220507,0.23620753087292734,,0.04998319303172542,0.16593224209643742,True,disease[T.acute kidney injury],0.04998319303172542,0.16593224209643742,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
ENSG00000179869,ABCA13,180,48,True,0.89144879245474,-0.47365456633192676,0.6843732866122119,-0.6920997291940104,0.4888747017338355,,-0.017549069141796346,0.16487933056302917,True,disease[T.acute kidney injury],-0.017549069141796346,0.16487933056302917,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23076.0,targeted_SubclassLevel1_Myeloid_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,38,76,7631,12960
