gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,554,83,True,2.816941181976867,0.04625811704439322,0.2378351319973094,0.19449656850913233,0.8457870823599898,0.9244802863064199,0.023684556494191992,0.2090864016074544,True,disease[T.acute kidney injury],0.023684556494191992,0.2090864016074544,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000268895,A1BG-AS1,636,88,True,4.245214972810987,0.2889590413468811,0.2366510566213397,1.221034232732112,0.22207305873078398,0.43669609199625703,0.17256003183369226,0.22843196879184144,True,disease[T.acute kidney injury],0.17256003183369226,0.22843196879184144,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000148584,A1CF,466,75,True,3.633638495052837,-0.5075653753982117,0.41008852695575504,-1.2376970874217448,0.2158283995231427,0.42989357863815175,-0.13308928234752684,0.5457933149731995,True,disease[T.acute kidney injury],-0.13308928234752684,0.5457933149731995,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000175899,A2M,16028,101,True,93.51542055965011,0.15916644131044,0.1925137864423632,0.826779443965136,0.40836208315697475,0.6269051206842733,0.10676735098659734,0.1952143988249282,True,disease[T.acute kidney injury],0.10676735098659734,0.1952143988249282,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000245105,A2M-AS1,283,69,True,1.421787424086526,0.6666893747344786,0.32577812287255953,2.046452256695209,0.04071189519905834,0.14308187671376843,0.39010868972222,0.32493939403482763,True,disease[T.acute kidney injury],0.39010868972222,0.32493939403482763,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000166535,A2ML1,94,40,True,0.6146688175805709,-0.14763413404493034,0.5228733326393644,-0.28235162290587956,0.7776739057231803,,-0.08014452576208861,0.36064584755455564,True,disease[T.acute kidney injury],-0.08014452576208861,0.36064584755455564,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000256661,A2ML1-AS1,278,64,True,1.6189997652626402,-0.6089041211605047,0.31941061438857765,-1.9063365264992256,0.05660655811818621,0.17975487305004587,-0.3753649572022888,0.334300864319163,True,disease[T.acute kidney injury],-0.3753649572022888,0.334300864319163,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000184389,A3GALT2,59,37,True,0.4516886016936051,-0.3641768682370893,0.5805408991764518,-0.6273061359737206,0.530458582063169,,-0.05016456249040333,0.4443773991236147,True,disease[T.acute kidney injury],-0.05016456249040333,0.4443773991236147,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000128274,A4GALT,206,59,True,2.2124685902007895,0.13024889558394073,0.4937599306700372,0.26378992602172413,0.7919417975850074,0.8949757198622517,0.026377468558109247,0.5122058136087502,True,disease[T.acute kidney injury],0.026377468558109247,0.5122058136087502,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000118017,A4GNT,12,10,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000094914,AAAS,635,91,True,4.235572863948842,-0.28298094407380264,0.2049826614449615,-1.3805116104894752,0.16742917731455365,0.3690110113929957,-0.19488546466718076,0.1989388764836055,True,disease[T.acute kidney injury],-0.19488546466718076,0.1989388764836055,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000081760,AACS,603,87,True,4.25607294227939,-0.22085584672602374,0.21240636516306613,-1.0397797945295608,0.29844221851920605,0.5247740548178115,-0.14262096616610714,0.2051059242779651,True,disease[T.acute kidney injury],-0.14262096616610714,0.2051059242779651,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23128.0,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000114771,AADAC,4,4,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
ENSG00000197953,AADACL2,17,10,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_aki_vs_normal,acute kidney injury vs normal,False,38,63,7631,16855
