gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,541,106,True,1.8828503748119538,-0.5912438784722767,0.3245011557059596,-1.8220085447338767,0.0684536891431534,0.23691393976888248,-0.3046607427843662,0.31408789544754395,True,disease[T.chronic kidney disease],-0.3046607427843662,0.31408789544754395,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000268895,A1BG-AS1,618,116,True,3.1386371188552293,0.4912694361747214,0.304823806932533,1.6116504846468722,0.10703801823625915,0.3075530217737646,0.2185022745579761,0.3054740009582205,True,disease[T.chronic kidney disease],0.2185022745579761,0.3054740009582205,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000148584,A1CF,555,95,True,2.7412343008232223,0.19960753329612022,0.491496400835518,0.4061220650991501,0.6846529139034112,0.8377719286484938,0.03013446303545018,0.4249446026054841,True,disease[T.chronic kidney disease],0.03013446303545018,0.4249446026054841,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000175899,A2M,17644,138,True,67.12602790848695,-0.017349693799692426,0.22850156868048127,-0.07592811681723237,0.9394762874365754,0.9720010881556326,-0.009313744526547017,0.22682648073659453,True,disease[T.chronic kidney disease],-0.009313744526547017,0.22682648073659453,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000245105,A2M-AS1,408,94,True,1.6569613211393932,1.7363806587993365,0.3650288753655965,4.75683096867407,1.966556999214458e-06,0.00017139489076744088,1.5917172915673523,0.36091685875986657,True,disease[T.chronic kidney disease],1.5917172915673523,0.36091685875986657,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,True,76,63,12960,16855
ENSG00000166535,A2ML1,93,49,True,0.5475694450315409,1.0541287262442993,0.7079897872410162,1.4889038588425985,0.13651268728198349,,0.09441648315964035,0.5811579014387208,True,disease[T.chronic kidney disease],0.09441648315964035,0.5811579014387208,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000256661,A2ML1-AS1,301,83,True,1.1850571909940928,0.17932340856402795,0.3930078073010987,0.45628459596132465,0.6481853394629924,0.8169163737755495,0.03615680702289176,0.36524714258060464,True,disease[T.chronic kidney disease],0.03615680702289176,0.36524714258060464,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000184389,A3GALT2,53,35,True,0.1805695252764363,-0.193896527518375,0.8454017254760299,-0.22935430775137758,0.8185935467312698,,-0.16442210019970005,0.8015900760132543,True,disease[T.chronic kidney disease],-0.16442210019970005,0.8015900760132543,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000128274,A4GALT,253,81,True,1.6511313081477141,0.36859128655041346,0.5302091823567884,0.6951808810854976,0.4869419523827604,0.7073314385947668,0.06470665376934505,0.4058549276583975,True,disease[T.chronic kidney disease],0.06470665376934505,0.4058549276583975,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000118017,A4GNT,11,10,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
ENSG00000094914,AAAS,660,115,True,2.8654214346164744,0.10672964006103919,0.2783230474665162,0.3834739560110607,0.7013683771887522,0.8469549150376123,0.043341700603437124,0.25609920089020083,True,disease[T.chronic kidney disease],0.043341700603437124,0.25609920089020083,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,23851.0,targeted_SubclassLevel1_Myeloid_ckd_vs_normal,chronic kidney disease vs normal,False,76,63,12960,16855
