gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,200,55,True,2.081147378241936,0.2717493183175687,0.4121508792477785,0.6593442644439863,0.5096747239940278,,0.01903267432672256,0.1428652756447234,True,disease[T.acute kidney injury],0.01903267432672256,0.1428652756447234,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000268895,A1BG-AS1,203,54,True,2.3477194239298123,0.3610444583373621,0.4554258471651627,0.7927623357012219,0.4279163043918318,,0.024076955123246674,0.15432298834311906,True,disease[T.acute kidney injury],0.024076955123246674,0.15432298834311906,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000148584,A1CF,400,51,True,5.913715006838074,-0.6108138825222927,0.7010066064211915,-0.8713382683233837,0.38356948127983126,,-0.012282940129421507,0.1525612061494454,True,disease[T.acute kidney injury],-0.012282940129421507,0.1525612061494454,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000175899,A2M,688,59,True,8.876879632417232,-0.378301949374689,0.5885601182576845,-0.6427583820911563,0.5203808917771522,,-0.011559222603517412,0.15338157233289515,True,disease[T.acute kidney injury],-0.011559222603517412,0.15338157233289515,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000245105,A2M-AS1,30,23,True,0.3420509409390321,-0.33066328610344986,0.976150199608773,-0.3387422204451476,0.7348039317275958,,-0.01265451371000002,0.1719488630009793,True,disease[T.acute kidney injury],-0.01265451371000002,0.1719488630009793,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000166535,A2ML1,14,12,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000256661,A2ML1-AS1,102,37,True,1.1861882270186606,-0.5656446574689149,0.683590699922641,-0.8274610194856754,0.4079758073027233,,-0.021913427082920406,0.16166731247009442,True,disease[T.acute kidney injury],-0.021913427082920406,0.16166731247009442,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000184389,A3GALT2,10,10,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
ENSG00000128274,A4GALT,827,66,True,8.675078041437876,0.6458693122293898,0.29397952329295424,2.196987412574899,0.02802134519766955,,0.15927864043155282,0.26733526744292163,True,disease[T.acute kidney injury],0.15927864043155282,0.26733526744292163,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,18653.0,targeted_SubclassLevel1_PEC_aki_vs_ckd,acute kidney injury vs chronic kidney disease,False,22,45,1624,2636
