gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,658,70,True,4.6127164475025415,0.42542311879087047,0.4509167741300829,0.943462614828656,0.34544432898325717,,0.013665770515205865,0.3599608380396556,True,disease[T.acute kidney injury],0.013665770515205865,0.3599608380396556,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000268895,A1BG-AS1,694,74,True,5.759831602670203,0.15294151943597797,0.3011512447400953,0.5078561756169137,0.6115542105510903,,0.01001448045777216,0.25040445331828204,True,disease[T.acute kidney injury],0.01001448045777216,0.25040445331828204,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000148584,A1CF,499,57,True,7.205175821358531,0.3942617530768534,0.836166249921213,0.4715112014076176,0.6372757224853023,0.9441586549761029,0.002824249176777636,0.4050624188862069,True,disease[T.acute kidney injury],0.002824249176777636,0.4050624188862069,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000175899,A2M,1412,66,True,11.986437275962984,0.4486878274695688,0.6779509591847233,0.6618293276096886,0.5080806083571918,0.9207821781361074,0.0073851805754449286,0.18804039382566293,True,disease[T.acute kidney injury],0.0073851805754449286,0.18804039382566293,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000245105,A2M-AS1,139,50,True,1.3132517098264627,0.27740313174884607,0.6014818420238419,0.46119951155208794,0.6446554720987796,,0.0061321034570309746,0.1612467867179355,True,disease[T.acute kidney injury],0.0061321034570309746,0.1612467867179355,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000166535,A2ML1,37,24,True,0.3855841290244245,0.6535724559167231,1.0460433343421873,0.624804378996141,0.5320994563017956,,0.0014887678937204345,0.15768107810749532,True,disease[T.acute kidney injury],0.0014887678937204345,0.15768107810749532,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000256661,A2ML1-AS1,334,60,True,2.206547696043725,-0.02001620522798364,0.566513009144985,-0.03533229582528614,0.9718147710562675,,-0.00041817429274416506,0.14998758119992778,True,disease[T.acute kidney injury],-0.00041817429274416506,0.14998758119992778,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000184389,A3GALT2,10,8,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
ENSG00000128274,A4GALT,1364,76,True,10.436544463261372,0.03987975944143785,0.2541313126476804,0.1569257996031598,0.8753033266194505,0.9866823340830809,0.0034864547475165664,1.3777058505769106,True,disease[T.acute kidney injury],0.0034864547475165664,1.3777058505769106,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,21489.0,targeted_SubclassLevel1_POD_aki_vs_normal,acute kidney injury vs normal,False,19,59,1746,9086
