gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,1917,159,True,6.323994239961489,-0.692945329927457,0.3196791627058752,-2.16762745517139,0.030187043082987863,0.26927599811034425,-0.06073926468693018,0.23984389391643085,True,disease[T.chronic kidney disease],-0.06073926468693018,0.23984389391643085,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000268895,A1BG-AS1,803,137,True,3.7143780018155566,-0.7503093749130608,0.47078346121332804,-1.593746247965729,0.11099288116546328,0.4875131887687744,-0.0285709567141554,0.3296704015610566,True,disease[T.chronic kidney disease],-0.0285709567141554,0.3296704015610566,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000148584,A1CF,256881,172,True,521.3619186814102,0.17187482631862774,0.27189648103401315,0.6321333239216395,0.5272997616054744,0.8393919885475709,0.016641844655579687,0.19590030637780706,True,disease[T.chronic kidney disease],0.016641844655579687,0.19590030637780706,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000175899,A2M,24200,171,True,67.22740408697584,-0.13134443382837055,0.28492125922711437,-0.4609850250720471,0.6448093489033841,0.8899057635557568,-0.010957512957377444,0.2127225388655473,True,disease[T.chronic kidney disease],-0.010957512957377444,0.2127225388655473,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000245105,A2M-AS1,4082,161,True,8.390658019621174,0.11114896498169333,0.17812690425238686,0.6239875186075601,0.5326357820293732,0.8422147023277607,0.022702920163018375,0.1520171854187391,True,disease[T.chronic kidney disease],0.022702920163018375,0.1520171854187391,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000166535,A2ML1,1034,139,True,3.156450822320113,0.01838493189196075,0.3165918218282809,0.0580714049585675,0.9536917514800385,0.9878265930687528,-0.0013480099111556941,0.19777438008656933,True,disease[T.chronic kidney disease],-0.0013480099111556941,0.19777438008656933,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000256661,A2ML1-AS1,4545,163,True,10.479424418881802,-0.05082148015907736,0.2735004812790782,-0.18581861326678775,0.8525870074647097,0.9593307728950602,-0.005821866857072993,0.18762185449104996,True,disease[T.chronic kidney disease],-0.005821866857072993,0.18762185449104996,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000256904,A2ML1-AS2,1,1,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000184389,A3GALT2,839,139,True,2.3895465575444064,-0.5219804521692639,0.32963851580684433,-1.583493515287894,0.11330902353430546,0.49247449535541055,-0.04610657494955927,0.2910283878401408,True,disease[T.chronic kidney disease],-0.04610657494955927,0.2910283878401408,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000128274,A4GALT,68859,175,True,163.03592019088273,-0.1267874069538768,0.1845392389702888,-0.6870484979852435,0.49205216727054313,0.8215378194346741,-0.023481583265356668,0.1726934184142427,True,disease[T.chronic kidney disease],-0.023481583265356668,0.1726934184142427,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000118017,A4GNT,362,102,True,0.9239021272007676,1.1032118741413408,0.4169437397018498,2.645949007245513,0.008146209542124434,,0.05973896003253982,0.28061056551180596,True,disease[T.chronic kidney disease],0.05973896003253982,0.28061056551180596,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000094914,AAAS,15444,173,True,40.06834528916042,-0.07078748375957485,0.1810636699068311,-0.3909535457665227,0.6958315735908477,0.907576359264973,-0.012921195756972065,0.163980697936146,True,disease[T.chronic kidney disease],-0.012921195756972065,0.163980697936146,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000081760,AACS,20945,176,True,54.542180743666066,-0.12360580287161675,0.15472756986735745,-0.7988608815971174,0.4243710837940138,0.7837147090565637,-0.030326898435077958,0.15122908010946565,True,disease[T.chronic kidney disease],-0.030326898435077958,0.15122908010946565,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000114771,AADAC,118,54,True,0.36110104892194705,-0.76004835124853,0.7425866444778179,-1.0235147061970002,0.30606455023369805,,-0.01665836431624559,0.3342646049514184,True,disease[T.chronic kidney disease],-0.01665836431624559,0.3342646049514184,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000197953,AADACL2,89,46,True,0.25439302657955987,-0.07521554912528614,0.809375751618288,-0.09293032188683453,0.9259589165917841,,-0.008349881680351732,0.5491392038231019,True,disease[T.chronic kidney disease],-0.008349881680351732,0.5491392038231019,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000242908,AADACL2-AS1,3963,144,True,8.581480452504376,0.004806598841526642,0.3941190200958692,0.012195805318803037,0.9902693964480466,0.9987416764746188,-0.0006621244471502051,0.19493891964788526,True,disease[T.chronic kidney disease],-0.0006621244471502051,0.19493891964788526,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000188984,AADACL3,85,47,True,0.18707726266504487,-0.19726989794691088,0.7964073628259417,-0.24769974155804622,0.8043667318461429,,-0.00818723537775323,1.7471601992480148,True,disease[T.chronic kidney disease],-0.00818723537775323,1.7471601992480148,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000204518,AADACL4,176,76,True,0.41497287344781286,-0.02199485528299793,0.6017823639493226,-0.036549517899880105,0.970844195488149,,-0.010471256961012807,0.41661329148312326,True,disease[T.chronic kidney disease],-0.010471256961012807,0.41661329148312326,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000109576,AADAT,9986,168,True,22.349574075025153,0.22936261184810733,0.14956471428757653,1.533534249308957,0.12514427462123834,0.5139485370686583,0.07304423749609636,0.14289904320993374,True,disease[T.chronic kidney disease],0.07304423749609636,0.14289904320993374,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000103591,AAGAB,88144,176,True,198.79295778112814,-0.07838503290506815,0.07699423756750953,-1.0180636289350766,0.308647718585755,0.7152570325024863,-0.0468414197188914,0.0771597989484133,True,disease[T.chronic kidney disease],-0.0468414197188914,0.0771597989484133,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000115977,AAK1,651301,176,True,1322.7509973788287,-0.028585183538228833,0.08608990588554886,-0.33203873606542256,0.7398600095410597,0.9241107184185151,-0.015539344533220718,0.08427223970235463,True,disease[T.chronic kidney disease],-0.015539344533220718,0.08427223970235463,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000087884,AAMDC,71440,175,True,160.89361205141796,-0.03094656159527726,0.07407445302287737,-0.4177764442718144,0.6761105749005349,0.9006759310907726,-0.017708521431539195,0.07292469348804301,True,disease[T.chronic kidney disease],-0.017708521431539195,0.07292469348804301,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000127837,AAMP,20864,176,True,57.59082027751299,0.008401163803067054,0.16359943404674143,0.05135203463275298,0.9590450051262666,0.9897523453343166,0.001871402850637191,0.1541280776765215,True,disease[T.chronic kidney disease],0.001871402850637191,0.1541280776765215,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000129673,AANAT,721,128,True,2.269440381085937,0.05259066473480083,0.3630607032500163,0.14485364090363986,0.8848264294842088,0.9689526902326513,-0.0018734614714321608,0.2192603807152201,True,disease[T.chronic kidney disease],-0.0018734614714321608,0.2192603807152201,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000131043,AAR2,16417,175,True,41.55895072334844,0.09624726610375231,0.09181681306972922,1.0482531781043025,0.29452197563913607,0.7039446233252729,0.04976464912115559,0.09037408245380374,True,disease[T.chronic kidney disease],0.04976464912115559,0.09037408245380374,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000205002,AARD,2288,150,True,5.572922856560536,0.30927901491594906,0.30600068668020414,1.0107134669248994,0.31215358963111617,0.7175447203167654,0.02170312604508562,0.197122582886831,True,disease[T.chronic kidney disease],0.02170312604508562,0.197122582886831,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000090861,AARS1,38080,176,True,98.1711589621891,-0.015496979838320437,0.1196820672274479,-0.12948456019621926,0.8969742412793094,0.9720143279815116,-0.005635699664152944,0.11570790879726499,True,disease[T.chronic kidney disease],-0.005635699664152944,0.11570790879726499,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000124608,AARS2,12682,172,True,34.85789792626319,0.10285009502311622,0.15907994514434673,0.6465308680474563,0.5179356129810015,0.8348587566497937,0.023886819135069792,0.15248435297098137,True,disease[T.chronic kidney disease],0.023886819135069792,0.15248435297098137,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000266967,AARSD1,25610,175,True,70.64732077301315,0.1600200191721981,0.14184996311205036,1.128093484562945,0.2592804404819288,0.67343414392721,0.04713908200656811,0.13926675436873617,True,disease[T.chronic kidney disease],0.04713908200656811,0.13926675436873617,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000157426,AASDH,76528,175,True,160.84047677272125,-0.03417913923549786,0.09613287194954791,-0.35554060273405363,0.7221846326347268,0.9169994693336172,-0.01635272152118433,0.0891342351338047,True,disease[T.chronic kidney disease],-0.01635272152118433,0.0891342351338047,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000149313,AASDHPPT,48939,174,True,95.68169613644487,0.04596339813472686,0.17301156409374766,0.26566662393631235,0.790495970138227,0.9403581744310271,0.010936594610393554,0.1475317160160944,True,disease[T.chronic kidney disease],0.010936594610393554,0.1475317160160944,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000008311,AASS,521215,175,True,863.3026734993731,-0.9722710421399622,0.25227870125772683,-3.853956110019349,0.00011622443894094571,0.008445359778519084,-0.7846915161713971,0.2745377820190011,True,disease[T.chronic kidney disease],-0.7846915161713971,0.2745377820190011,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,True,93,83,84847,220542
ENSG00000215458,AATBC,220,84,True,0.6876080519650021,0.24183371286263775,0.4950214762727843,0.4885317596389979,0.6251732354907975,,0.004030728202845097,0.2860149195369701,True,disease[T.chronic kidney disease],0.004030728202845097,0.2860149195369701,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000275700,AATF,130310,176,True,288.7866552352342,-0.0071429501062050755,0.059016781069338775,-0.12103252628795239,0.9036652723122643,0.9733866426204846,-0.004392704154887848,0.05839193504214605,True,disease[T.chronic kidney disease],-0.004392704154887848,0.05839193504214605,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000181409,AATK,27167,171,True,62.67861661263576,0.2223138739400931,0.27928304048524843,0.7960163766257607,0.4260225167908386,0.7851466861441107,0.01984983044897908,0.41668157475853146,True,disease[T.chronic kidney disease],0.01984983044897908,0.41668157475853146,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000281376,ABALON,3431,128,True,6.337294573644172,-0.6918139005188609,0.45757448850976906,-1.511915366549311,0.13055539432588356,0.5252082656409099,-0.028832783286545812,0.2902980290014663,True,disease[T.chronic kidney disease],-0.028832783286545812,0.2902980290014663,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000183044,ABAT,276513,176,True,607.2170367196919,0.051654542451681086,0.1661361905359227,0.3109168585427033,0.7558638279663618,0.9295978534738664,0.010394804574400205,0.1599439111963557,True,disease[T.chronic kidney disease],0.010394804574400205,0.1599439111963557,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000165029,ABCA1,154543,175,True,251.3898638170163,0.012717641026127838,0.16456884988798856,0.07727854350798415,0.9384019596550712,0.9836053180696218,0.0024950028221067664,0.14680077017324467,True,disease[T.chronic kidney disease],0.0024950028221067664,0.14680077017324467,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000154263,ABCA10,42495,175,True,93.45900670715012,-0.06798119942955046,0.16001458245968853,-0.424843776014455,0.6709505632658176,0.8991555075214959,-0.01581639126076785,0.13835945956623855,True,disease[T.chronic kidney disease],-0.01581639126076785,0.13835945956623855,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000144452,ABCA12,6149,162,True,19.57348580580382,-0.2500071342871842,0.42144119143021125,-0.5932195033873052,0.5530342618565882,0.8514559628765451,-0.010907369482506073,0.24187119312577646,True,disease[T.chronic kidney disease],-0.010907369482506073,0.24187119312577646,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000179869,ABCA13,18484,171,True,101.94545108947348,-1.3824878546637502,0.4750192931694247,-2.910382535074548,0.003609866311737707,0.08081193371751294,-0.9998675497854794,0.43559298802227975,True,disease[T.chronic kidney disease],-0.9998675497854794,0.43559298802227975,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000107331,ABCA2,5955,165,True,17.553754846757254,0.3049811885217238,0.2578082840059518,1.1829766824509136,0.23681838873060168,0.6533618733287078,0.030511172188058395,0.2539994452050929,True,disease[T.chronic kidney disease],0.030511172188058395,0.2539994452050929,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000167972,ABCA3,17584,175,True,56.83479534770656,0.01011332149620068,0.24385388795716406,0.04147287369876673,0.9669189178947744,0.9918820628339878,0.0008091829010181246,0.22649381553204598,True,disease[T.chronic kidney disease],0.0008091829010181246,0.22649381553204598,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000198691,ABCA4,2966,149,True,25.55110704716275,-3.7419141963471767,0.6328167575512476,-5.913108576370379,3.3571071997985436e-09,2.2280001449329668e-06,-3.409926945830878,0.6411699392278781,True,disease[T.chronic kidney disease],-3.409926945830878,0.6411699392278781,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,True,93,83,84847,220542
ENSG00000154265,ABCA5,136294,176,True,290.6287493950341,-0.0601949057474726,0.09947668177270458,-0.6051157384301643,0.5451020976222771,0.8472589389489319,-0.028428356487647615,0.09444877318338668,True,disease[T.chronic kidney disease],-0.028428356487647615,0.09444877318338668,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
ENSG00000154262,ABCA6,7544,165,True,18.24947634874419,0.14827047712334235,0.2546721898907374,0.582201288593604,0.5604311055036977,0.855695917232623,0.014691462523241277,0.2203020714235718,True,disease[T.chronic kidney disease],0.014691462523241277,0.2203020714235718,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,31540.0,targeted_SubclassLevel1_PT_ckd_vs_normal,chronic kidney disease vs normal,False,93,83,84847,220542
