gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,1986,112,True,7.899300758071299,-0.06176350606847603,0.22806034194422267,-0.27082089565393047,0.7865287878432643,0.8786160852505689,-0.03843134279115322,0.21869816427389221,True,disease[T.acute kidney injury],-0.03843134279115322,0.21869816427389221,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000268895,A1BG-AS1,871,104,True,5.058296013502348,0.4517292613938594,0.32769976940433093,1.3784851366083666,0.1680535537683927,0.3338705006289657,0.2325430008617365,0.3383988876512457,True,disease[T.acute kidney injury],0.2325430008617365,0.3383988876512457,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000148584,A1CF,1675,97,True,8.330614749491694,-0.41224841336030105,0.44158009803880527,-0.9335756189901325,0.35052284673329537,0.5376787292591488,-0.12280513341980258,0.37113721793145527,True,disease[T.acute kidney injury],-0.12280513341980258,0.37113721793145527,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000175899,A2M,27229,116,True,79.75903403530893,0.244191800892427,0.3274417298504981,0.745756507589668,0.4558145171864876,0.637667826041514,0.12016312804785183,0.3014848761145106,True,disease[T.acute kidney injury],0.12016312804785183,0.3014848761145106,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000245105,A2M-AS1,2047,106,True,5.68528151531825,-0.2583957133380014,0.16847720455540297,-1.5337132048213031,0.12510022375479973,0.2732416519983079,-0.20860012604170802,0.16138897913755104,True,disease[T.acute kidney injury],-0.20860012604170802,0.16138897913755104,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000166535,A2ML1,1507,106,True,4.908959068803171,0.03142567584219363,0.24655381241884938,0.12745970355878014,0.8985765648969039,0.9440185084207052,0.02114206378675208,0.22107208919220644,True,disease[T.acute kidney injury],0.02114206378675208,0.22107208919220644,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000256661,A2ML1-AS1,7457,122,True,25.623897350179124,0.30787908911665174,0.24125252790968568,1.276169380624721,0.20189564996701814,0.37731888882433434,0.20711526489618895,0.23105620033052318,True,disease[T.acute kidney injury],0.20711526489618895,0.23105620033052318,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000256904,A2ML1-AS2,6,5,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000184389,A3GALT2,864,101,True,3.197115592644334,-0.39301614695972464,0.2824384353640544,-1.39151084891523,0.164070572136776,0.3285693394758364,-0.24715729539433423,0.27108299263028973,True,disease[T.acute kidney injury],-0.24715729539433423,0.27108299263028973,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,False,38,86,29604,220995
ENSG00000128274,A4GALT,10786,114,True,64.78062183118999,2.8654980492445152,0.3915514071256262,7.3183188646418085,2.51096654683313e-13,4.091234316732229e-11,2.7305187162834534,0.43740679925563786,True,disease[T.acute kidney injury],2.7305187162834534,0.43740679925563786,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,30991.0,targeted_SubclassLevel1_TAL_aki_vs_normal,acute kidney injury vs normal,True,38,86,29604,220995
