gene_id,gene_symbol,total_pseudobulk_count,detected_pseudobulk_donors,passes_expression_filter,deseq2_base_mean,deseq2_log2fc_mle,deseq2_lfc_se_mle,deseq2_wald_stat,deseq2_p_value,deseq2_q_value,deseq2_log2fc,deseq2_lfc_se,deseq2_lfc_shrunk_applied,deseq2_shrinkage_coeff,deseq2_log2fc_shrunk,deseq2_lfc_se_shrunk,deseq2_design,deseq2_n_genes_tested,comparison_id,comparison,is_de_primary_q_0_05,n_donors_group1,n_donors_group2,n_cells_group1,n_cells_group2
ENSG00000121410,A1BG,423,84,True,1.4810325462017917,-1.5040357327524667,0.43067890659485686,-3.4922437800449915,0.0004789808803432299,,-1.2968573748189265,0.41730268253136027,True,disease[T.chronic kidney disease],-1.2968573748189265,0.41730268253136027,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000268895,A1BG-AS1,487,92,True,2.0279276320192663,0.4466348076424355,0.33900590329984437,1.3174838647201828,0.18767648607011955,0.43189119224468014,0.27890145890214435,0.3428743413546276,True,disease[T.chronic kidney disease],0.27890145890214435,0.3428743413546276,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000148584,A1CF,262,69,True,1.262069254265446,0.043331526590027265,0.6141607468156326,0.07055404764094299,0.9437526838903475,,0.007399521711976694,0.6367581255858481,True,disease[T.chronic kidney disease],0.007399521711976694,0.6367581255858481,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000175899,A2M,30322,131,True,135.10542368678747,-0.09887232297305143,0.2527203665087495,-0.3912321129434115,0.6956256734940887,0.844836024646204,-0.07263175181164021,0.24495130910750867,True,disease[T.chronic kidney disease],-0.07263175181164021,0.24495130910750867,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000245105,A2M-AS1,146,65,True,0.7154174855439406,-0.45301083298554806,0.581251827345938,-0.779371025901195,0.4357611864587163,,-0.2081877722914516,0.5619024586808261,True,disease[T.chronic kidney disease],-0.2081877722914516,0.5619024586808261,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000166535,A2ML1,72,41,True,0.2923336221904944,0.6632587857959776,0.732397318010472,0.9055996922513228,0.36514777175017377,,0.09716293006752819,0.7453568581790306,True,disease[T.chronic kidney disease],0.09716293006752819,0.7453568581790306,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000256661,A2ML1-AS1,401,84,True,1.3468166903977374,-0.3479771496216232,0.46315500757429817,-0.7513189837762934,0.45246070700017993,,-0.1622719403131124,0.41952393471873106,True,disease[T.chronic kidney disease],-0.1622719403131124,0.41952393471873106,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000256904,A2ML1-AS2,0,0,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000184389,A3GALT2,44,28,True,0.21433014821345145,0.6872830127446484,1.084883117304709,0.6335088101031003,0.5264014294506538,,-0.025905612321872645,2.0292498568913815,True,disease[T.chronic kidney disease],-0.025905612321872645,2.0292498568913815,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000128274,A4GALT,1413,119,True,5.468914368164124,-0.16850945442999402,0.29761491114248545,-0.5661996362451034,0.5712580771903664,0.7647538850034165,-0.1080031759790462,0.29809784604293793,True,disease[T.chronic kidney disease],-0.1080031759790462,0.29809784604293793,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000118017,A4GNT,2,2,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000094914,AAAS,735,111,True,2.9993695040399864,0.4150422280970146,0.2857253161648844,1.4525917187453732,0.1463371467072587,0.37333650513384875,0.28965890902852387,0.29100587878720874,True,disease[T.chronic kidney disease],0.28965890902852387,0.29100587878720874,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000081760,AACS,750,109,True,2.7959069216585797,-0.15333349005750385,0.32468428087490536,-0.4722541222024244,0.6367454126432459,0.8075729446916677,-0.09210058548585025,0.3188432363894111,True,disease[T.chronic kidney disease],-0.09210058548585025,0.3188432363894111,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000114771,AADAC,2,2,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000197953,AADACL2,2,2,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000242908,AADACL2-AS1,90,43,True,0.35669944428789635,0.39902727277939803,0.789651067969182,0.5053210069171603,0.6133333906345969,,0.02106912408611084,0.9262357314297975,True,disease[T.chronic kidney disease],0.02106912408611084,0.9262357314297975,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000188984,AADACL3,7,5,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000204518,AADACL4,22,17,True,0.09919479549102711,0.6000268115354733,1.362525772841493,0.4403783205393183,0.6596631240040887,,0.005155925271930389,3.3282744049459287,True,disease[T.chronic kidney disease],0.005155925271930389,3.3282744049459287,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000109576,AADAT,474,92,True,1.7520825964633024,-0.011507054767549442,0.34739831368077023,-0.033123519356295594,0.973576087304346,0.9889928378780398,-0.007959718460075161,0.3382290429603404,True,disease[T.chronic kidney disease],-0.007959718460075161,0.3382290429603404,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000103591,AAGAB,2109,128,True,8.847192300003051,-0.19114252887747693,0.20022215565920526,-0.9546522374018257,0.33975359108470526,0.5869116749144033,-0.1519621729691424,0.20275991695904108,True,disease[T.chronic kidney disease],-0.1519621729691424,0.20275991695904108,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000115977,AAK1,9052,131,True,36.862235903378924,0.05842807506526079,0.10108062288386499,0.578034378877847,0.5632409088646126,0.7596855710321654,0.055368101186015824,0.1026466925459965,True,disease[T.chronic kidney disease],0.055368101186015824,0.1026466925459965,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000087884,AAMDC,3398,128,True,13.721721549300575,0.05107060101541473,0.17836151012168994,0.28633196131032423,0.7746238808212518,0.8892449630516813,0.042386172210134535,0.1765292052837189,True,disease[T.chronic kidney disease],0.042386172210134535,0.1765292052837189,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000127837,AAMP,1008,114,True,3.908447615402606,-0.3857909832305294,0.2855579135227959,-1.3510078515114656,0.17669291760283423,0.41674241803459544,-0.2740227213863398,0.2750076635998306,True,disease[T.chronic kidney disease],-0.2740227213863398,0.2750076635998306,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000129673,AANAT,14,12,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000131043,AAR2,686,103,True,2.6362512202552013,-0.02628534155391557,0.2966712266684278,-0.08860091303459357,0.9293990824440963,0.9686030508367302,-0.016681803849221036,0.28920090024368544,True,disease[T.chronic kidney disease],-0.016681803849221036,0.28920090024368544,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000205002,AARD,27,20,True,0.148626908510729,0.011659718153568647,1.1745597379606978,0.009926883901037305,0.9920796226816821,,-0.102132794997129,1.088191987129202,True,disease[T.chronic kidney disease],-0.102132794997129,1.088191987129202,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000090861,AARS1,1599,126,True,6.886504397176724,0.11013967606917692,0.19889967686429091,0.5537448718145738,0.5797534614093667,0.7699676110499001,0.08826050577072758,0.1982450020395227,True,disease[T.chronic kidney disease],0.08826050577072758,0.1982450020395227,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000124608,AARS2,459,99,True,1.9925237726676062,0.1888880745022903,0.3444922057712733,0.5483087028903729,0.5834799526344498,0.7722860836325106,0.10517314991335311,0.3516379252928171,True,disease[T.chronic kidney disease],0.10517314991335311,0.3516379252928171,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000266967,AARSD1,1222,118,True,4.847537460016647,0.09215675380874322,0.24716491873043528,0.37285531572242203,0.7092561305538675,0.8523360005809999,0.0667560617264476,0.24501969236350057,True,disease[T.chronic kidney disease],0.0667560617264476,0.24501969236350057,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000157426,AASDH,1537,126,True,6.259699937960635,-0.046013927160103774,0.19182480843648733,-0.23987474579096926,0.8104273592887188,0.9081203267719858,-0.03756770951288078,0.18857586547243593,True,disease[T.chronic kidney disease],-0.03756770951288078,0.18857586547243593,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000149313,AASDHPPT,1518,123,True,6.53493612954147,-0.2011614459761981,0.28555912276571216,-0.7044476255141097,0.48115405574467773,0.7016780974267287,-0.13661537882586966,0.27667554881903933,True,disease[T.chronic kidney disease],-0.13661537882586966,0.27667554881903933,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000008311,AASS,7707,131,True,31.420309498605246,-0.4258509057232993,0.18399126426427986,-2.3145169822389993,0.02063938081364906,0.13760569216653185,-0.37197594448384363,0.17987407315004666,True,disease[T.chronic kidney disease],-0.37197594448384363,0.17987407315004666,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000215458,AATBC,19,17,False,,,,,,,,,,,,,,,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000275700,AATF,2457,131,True,10.199011957711852,0.07101560504601667,0.17412750861651,0.40783679506044046,0.6833934980209485,0.8380525404302115,0.06073403593494428,0.1717615858932658,True,disease[T.chronic kidney disease],0.06073403593494428,0.1717615858932658,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
ENSG00000181409,AATK,480,89,True,2.157140836320725,-0.011446175002495054,0.5512922157197722,-0.020762446260103314,0.9834351548197456,0.9931368869692165,-0.0067831812269960375,0.6108649340847888,True,disease[T.chronic kidney disease],-0.0067831812269960375,0.6108649340847888,~ sex + diabetes_history_clean + hypertension_clean + Race_grouped + Age_grouped + disease,22317.0,targeted_SubclassLevel1_VSM_P_ckd_vs_normal,chronic kidney disease vs normal,False,61,70,4644,13074
